Prompt,GT_Keyframe,Top_1,Top_2,Top_3
learning outcomes,3,003,085,001
What are the learning outcomes from the lecture?,3,003,085,001
explain proteins in macronutrients,27,023,027,037
I did not understand the function of proteins in macronutrients,27,023,024,027
fish oil capsules,30,030,029,034
what is the functioning of fish oil capsules and its relation to vitamins,30,030,029,042
calcium as micronutrient,46,046,045,040
what is calcium commonly supplemented for,46,046,045,021
flavanol food sources,48,042,045,004
what are the main food sources of lycopene red fruits,48,042,045,048
plasma membrane,57,055,067,052
chloroplast,62,060,065,056
explain subcellular structures such as the structures to recycle molecules in the digestive tract,62,064,054,058
centrioles,64,064,060,056
role of centrioles for cell division,64,064,060,052
transport across membranes,70,078,053,068
passive transport methodologies across membranes,70,068,072,078
FDA testing,84,084,012,082
legal requirements for health impact,84,084,048,047
