Prompt,GT_Keyframe,Top_1,Top_2,Top_3
learning outcomes,3,003,085,001
What are the learning outcomes from the lecture?,3,003,085,001
What is the relation of protien and muscles?,26,024,065,036
Essential fatty acids,29,036,028,029
fish oil capsules,30,030,029,034
what is the functioning of fish oil capsules and its relation to vitamins,30,030,029,042
calcium as micronutrient,46,046,045,040
Explain where vitamins function as coenzymes,41,041,039,042
Give a list of food items where I can attain some important micronutrient,45,045,049,027
what is calcium commonly supplemented for,46,046,045,021
How are nutrients extracted from plant cells,50,050,045,065
flavanol food sources,48,042,045,004
what are the main food sources of lycopene red fruits,48,042,045,048
what is semipermeable in plasma membrane,57,055,067,052
pigment chlorophyll,62,060,065,048
explain subcellular structures such as the structures to recycle molecules in the digestive tract,62,064,054,058
Passive transport molecules,68,072,068,074
role of centrioles for cell division,64,064,060,052
How do protients facilitate hydrophilic substances to travel across cell membrane,71,056,053,067
Cormoday oxide,70,041,039,005
FDA testing,84,084,012,082
legal requirements for health impact,84,084,048,047
