Prompt,GT_Keyframe,Top_1,Top_2,Top_3
learning outcomes,3,054,013,041
What are the learning outcomes from the lecture?,3,048,054,041
What is the relation of protien and muscles?,26,066,069,046
Essential fatty acids,29,046,069,066
fish oil capsules,30,img_path,056,033
what is the functioning of fish oil capsules and its relation to vitamins,30,008,073,052
calcium as micronutrient,46,048,054,025
Explain where vitamins function as coenzymes,41,066,046,019
Give a list of food items where I can attain some important micronutrient,45,062,048,054
what is calcium commonly supplemented for,46,048,054,025
How are nutrients extracted from plant cells,50,008,019,051
flavanol food sources,48,046,021,066
what are the main food sources of lycopene red fruits,48,img_path,064,051
what is semipermeable in plasma membrane,57,009,051,024
pigment chlorophyll,62,013,073,007
explain subcellular structures such as the structures to recycle molecules in the digestive tract,62,051,027,066
Passive transport molecules,68,066,009,046
role of centrioles for cell division,64,066,033,018
How do protients facilitate hydrophilic substances to travel across cell membrane,71,020,066,046
Cormoday oxide,70,046,011,021
FDA testing,84,041,013,054
legal requirements for health impact,84,img_path,085,065
