Prompt,GT_Keyframe,Top_1,Top_2,Top_3
learning outcomes,3,003,085,066
What are the learning outcomes from the lecture?,3,085,003,066
What is the relation of protien and muscles?,26,027,024,025
Essential fatty acids,29,034,029,028
fish oil capsules,30,030,036,034
what is the functioning of fish oil capsules and its relation to vitamins,30,030,042,036
calcium as micronutrient,46,046,045,021
Explain where vitamins function as coenzymes,41,041,042,039
Give a list of food items where I can attain some important micronutrient,45,045,048,042
what is calcium commonly supplemented for,46,046,021,042
How are nutrients extracted from plant cells,50,050,019,062
flavanol food sources,48,019,042,004
what are the main food sources of lycopene red fruits,48,019,048,042
what is semipermeable in plasma membrane,57,055,057,053
pigment chlorophyll,62,069,004,041
explain subcellular structures such as the structures to recycle molecules in the digestive tract,62,062,063,058
Passive transport molecules,68,068,074,072
role of centrioles for cell division,64,064,050,052
How do protients facilitate hydrophilic substances to travel across cell membrane,71,055,056,067
Cormoday oxide,70,069,041,008
FDA testing,84,084,004,012
legal requirements for health impact,84,084,049,006
