Prompt,GT_Keyframe,Top_1,Top_2,Top_3
learning outcomes,3,085,003,004
What are the learning outcomes from the lecture?,3,085,003,001
What is the relation of protien and muscles?,26,024,065,027
Essential fatty acids,29,029,028,037
fish oil capsules,30,030,034,029
what is the functioning of fish oil capsules and its relation to vitamins,30,030,042,029
calcium as micronutrient,46,046,045,044
Explain where vitamins function as coenzymes,41,041,042,039
Give a list of food items where I can attain some important micronutrient,45,045,044,040
what is calcium commonly supplemented for,46,046,021,022
How are nutrients extracted from plant cells,50,050,014,044
flavanol food sources,48,042,043,005
what are the main food sources of lycopene red fruits,48,042,028,048
what is semipermeable in plasma membrane,57,055,067,052
pigment chlorophyll,62,060,041,048
explain subcellular structures such as the structures to recycle molecules in the digestive tract,62,063,062,061
Passive transport molecules,68,072,068,081
role of centrioles for cell division,64,064,051,060
How do protients facilitate hydrophilic substances to travel across cell membrane,71,056,054,053
Cormoday oxide,70,069,041,073
FDA testing,84,084,083,012
legal requirements for health impact,84,001,048,084
