Prompt,GT_Keyframe,Top_1,Top_2,Top_3
learning outcomes,3,085,064,004
What are the learning outcomes from the lecture?,3,064,085,004
What is the relation of protien and muscles?,26,027,072,024
Essential fatty acids,29,054,036,029
fish oil capsules,30,053,030,002
what is the functioning of fish oil capsules and its relation to vitamins,30,030,053,054
calcium as micronutrient,46,037,023,041
Explain where vitamins function as coenzymes,41,030,044,041
Give a list of food items where I can attain some important micronutrient,45,023,040,037
what is calcium commonly supplemented for,46,037,041,046
How are nutrients extracted from plant cells,50,021,040,059
flavanol food sources,48,007,020,043
what are the main food sources of lycopene red fruits,48,007,020,040
what is semipermeable in plasma membrane,57,055,026,057
pigment chlorophyll,62,060,039,079
explain subcellular structures such as the structures to recycle molecules in the digestive tract,62,071,019,031
Passive transport molecules,68,077,083,016
role of centrioles for cell division,64,019,021,032
How do protients facilitate hydrophilic substances to travel across cell membrane,71,001,016,035
Cormoday oxide,70,060,005,047
FDA testing,84,051,006,004
legal requirements for health impact,84,051,006,084
