Prompt,GT_Keyframe,Top_1,Top_2,Top_3
what is a binomial probability distribution?,18,020,022,081
x is a specific number of successes in n trials,25,027,024,025
P(F) = 1 -p ,23,059,026,058
what procedures does the binomial probability distribution results from?,29,020,021,022
What is the binomial probability formula?,58,086,060,081
What is the method 2 for finding the binomial probabilities?,80,081,080,079
How many NFL Football games betweem 1974 and 2011 there is?,85,085,084,087
What are the key concepts of the lecture,3,063,062,064
What is the probability of failure in the twitter example?,46,046,043,061
Using the given values of n x and q,65,086,027,059
probability of success remains the same in all trials,22,024,027,026
