Prompt,GT_Keyframe,Top_1,Top_2,Top_3
learning outcomes,3,043,085,064
What are the learning outcomes from the lecture?,3,064,085,018
What is the relation of protien and muscles?,26,072,058,052
Essential fatty acids,29,054,036,052
fish oil capsules,30,053,057,010
what is the functioning of fish oil capsules and its relation to vitamins,30,053,054,082
calcium as micronutrient,46,037,082,023
Explain where vitamins function as coenzymes,41,030,082,044
Give a list of food items where I can attain some important micronutrient,45,082,008,040
what is calcium commonly supplemented for,46,037,082,030
How are nutrients extracted from plant cells,50,021,013,055
flavanol food sources,48,007,066,079
what are the main food sources of lycopene red fruits,48,007,040,036
what is semipermeable in plasma membrane,57,028,026,006
pigment chlorophyll,62,079,077,004
explain subcellular structures such as the structures to recycle molecules in the digestive tract,62,013,046,071
Passive transport molecules,68,083,015,009
role of centrioles for cell division,64,019,024,031
How do protients facilitate hydrophilic substances to travel across cell membrane,71,004,001,035
Cormoday oxide,70,077,030,011
FDA testing,84,051,079,047
legal requirements for health impact,84,018,051,070
